content:RecordLabel,,,,,,,,,,,,,
recordlabel_name,recordlabel_website,recordlabel_location,,,,,,,,,,,
Polydor,polydor.co.uk,LDN,,,,,,,,,,,
Legacy Recordings,legacyrecordings.com,NY,,,,,,,,,,,
"Volcano Entertainment, III, L.L.C.",,NY,,,,,,,,,,,
"The Paragon Cult, LLC",,CA,,,,,,,,,,,
Afficials,https://www.beatsource.com/label/afficials-empire/2545,CA,,,,,,,,,,,
22nd jim,https://soundcloud.com/22ndjim,0-Town,,,,,,,,,,,
Sony Music Entertainment Inc.,www.sonymusic.com,NY,,,,,,,,,,,
Zomba Recording LLC,zombalabelgroup.com,LDN,,,,,,,,,,,
"Trans Continental Records, Inc.",https://www.discogs.com/label/39944-Trans-Continental-Records,FL,,,,,,,,,,,
Universal Records Inc.,www.universalmusic.com,CA,,,,,,,,,,,
"Universal Motown Records, a division of UMG Recordings, Inc.",,NY,,,,,,,,,,,
The Island Def Jam Music Group,islanddefjam.com,NY,,,,,,,,,,,
"Capitol Records, LLC",capitolrecords.com,CA,,,,,,,,,,,
Capitol Records Inc.,https://www.discogs.com/label/87317-Capitol-Records-Inc,CA,,,,,,,,,,,
XL Recordings Ltd,xlrecordings.com,NY,,,,,,,,,,,
Polar Music International AB,https://universalmusic.se/,SE,,,,,,,,,,,
"Mega Records, a Division of Playground Music Scandinavia AB",https://soundcloud.com/megarecords,BCN,,,,,,,,,,,
"Sony Music Entertainment México, S.A. De C.V.",www.sonymusic.com.mx,CDMX,,,,,,,,,,,
"Musart-Balboa, a division of Concord Music Group, Inc.",https://www.discogs.com/label/33043-Musart,CDMX,,,,,,,,,,,
Walt Disney Records,music.disney.com,CA,,,,,,,,,,,
"Sugar Srl, under exclusive licence to Universal International Music BV",https://www.discogs.com/label/216652-SUGAR-SRL,MI,,,,,,,,,,,
"Parlophone Records Ltd, a Warner Music Group Company",parlophone.co.uk,UK,,,,,,,,,,,
Universal Music (Denmark) A/S,www.universalmusic.com,CA,,,,,,,,,,,
"Fábrica de Discos Peerless, S.A. de C.V.",https://www.discogs.com/label/263786-Fabrica-De-Discos-Peerless-SA-De-CV,CDMX,,,,,,,,,,,
Universal Digital Enterprises,https://www.universalmusic.com/label/universal-music-enterprises/,NY,,,,,,,,,,,
RCA,rcarecords.com,NY,,,,,,,,,,,
Warner Music Latina,www.wmg.com,FL,,,,,,,,,,,
Celtic Woman Ltd.,CelticWoman.com,MNY,,,,,,,,,,,
BMG UK & Ireland Ltd.,https://www.discogs.com/label/274563-BMG-Entertainment-International-UK-Ireland-Ltd,UK,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
content:Album,,,,,,,,,,,,,
album_name,album_asin,,,,,,,,,,,,
Cats 1981 Original London Cast,B000006XI0,,,,,,,,,,,,
The Essential Weird Al Yankovic,B002KREVEC,,,,,,,,,,,,
IN 3-D,B0060ANWF4,,,,,,,,,,,,
Buster,,,,,,,,,,,,,
Mando (feat. Mozzy) [Explicit],,,,,,,,,,,,,
22nd Ways [Explicit],,,,,,,,,,,,,
Coming Up Close: A Retrospective,,,,,,,,,,,,,
Celebrity,,,,,,,,,,,,,
N Sync UK Version,B0000258II,,,,,,,,,,,,
The Better Life,B00004C4QQ,,,,,,,,,,,,
Away from the Sun,B0001XTJ3U,,,,,,,,,,,,
Obsession,B000001EKI,,,,,,,,,,,,
Mad About You,B008D8O3YA,,,,,,,,,,,,
Gretest Hits,B08SQD41P7,,,,,,,,,,,,
19,B081DF5BNV,,,,,,,,,,,,
Arrival,B00005KKC4,,,,,,,,,,,,
The Sign,B000002VNS,,,,,,,,,,,,
15 Exitos Con El Acapulco Tropical,B000005LNZ,,,,,,,,,,,,
16 Exitos Baladas,B00004T6NU,,,,,,,,,,,,
15 Exitos Angelica Maria,B01MDSQ131,,,,,,,,,,,,
Enchanted,B000VWQTXE,,,,,,,,,,,,
Frozen (Original Motion Picture Soundtrack/Deluxe Edition),B00G4RH844,,,,,,,,,,,,
Bocelli (Remastered),B00007JRA1,,,,,,,,,,,,
Parachutes,B0000508U6,,,,,,,,,,,,
Aquarium,B000002P7Z,,,,,,,,,,,,
¡Ora pues!,B01N2YEHB0,,,,,,,,,,,,
Noche de Ronda,,,,,,,,,,,,,
Sincero,B0000CDNS8,,,,,,,,,,,,
15 Exitos Flor Silvestre,B01K8LS3WM,,,,,,,,,,,,
Millenium,B0054YH54Q,,,,,,,,,,,,
Presente de Natal/Nasceu Jesus,,,,,,,,,,,,,
Caraluna,B000068ZVE,,,,,,,,,,,,
Celtic Woman,B0007GAEGC,,,,,,,,,,,,
The definitive Collection,B01G4CJQG6,,,,,,,,,,,,
,,,,,,,,,,,,,
content:Genre,,,,,,,,,,,,,
genre_genre,genre_description,,,,,,,,,,,,
show tunes,"is a song originally written as part of the score of a work of musical theatre, musical film or a TV show, especially if the piece in question has become a standard, more or less detached in most people's minds from the original context",,,,,,,,,,,,
comedy rock,is rock music that is comedic in nature. Oftentimes it is mixed with satire or irony,,,,,,,,,,,,
